loss,accuracy,val_loss,val_accuracy
0.24350744485855103,0.05246323347091675,0.1246679425239563,0.11941176652908325
0.1082380935549736,0.13452206552028656,0.0880797877907753,0.16029411554336548
0.07876257598400116,0.18658088147640228,0.07387072592973709,0.22058823704719543
0.06344567984342575,0.2281617671251297,0.06581448018550873,0.2464705854654312
0.053654637187719345,0.2564338147640228,0.061245791614055634,0.2576470673084259
0.046705011278390884,0.28632351756095886,0.05720728635787964,0.30176469683647156
0.041491273790597916,0.3121323585510254,0.05411475524306297,0.3108823597431183
0.03741108998656273,0.33261027932167053,0.05178697779774666,0.32499998807907104
0.0341537669301033,0.3545588254928589,0.049933794885873795,0.3432352840900421
0.03147980570793152,0.3711397051811218,0.04855314642190933,0.3517647087574005
0.029310816898941994,0.3835661709308624,0.04677782580256462,0.37794119119644165
0.027493374422192574,0.4046323597431183,0.045305170118808746,0.3894117772579193
0.0259099081158638,0.42250001430511475,0.04384540393948555,0.41558822989463806
0.024466220289468765,0.42922794818878174,0.04321826994419098,0.421470582485199
0.023203248158097267,0.43669116497039795,0.04280517250299454,0.4211764633655548
0.022092368453741074,0.45018380880355835,0.042520225048065186,0.4117647111415863
0.02114802598953247,0.4653308689594269,0.04141916334629059,0.4264705777168274
0.020249078050255775,0.4678676426410675,0.04082625359296799,0.4264705777168274
0.01945027895271778,0.48286765813827515,0.04043636843562126,0.45264706015586853
0.018736369907855988,0.489301472902298,0.0394747219979763,0.4717647135257721
0.018058378249406815,0.498198539018631,0.03902604430913925,0.46029412746429443
0.017473140731453896,0.5065073370933533,0.03877591714262962,0.44235295057296753
0.016913002356886864,0.5065073370933533,0.038795918226242065,0.4426470696926117
0.016428258270025253,0.518198549747467,0.03796954080462456,0.4650000035762787
0.015906041488051414,0.5270588397979736,0.037821073085069656,0.4579411745071411
0.0155164310708642,0.5318014621734619,0.03785122558474541,0.4694117605686188
0.015094115398824215,0.536213219165802,0.037561770528554916,0.47823530435562134
0.01469859853386879,0.5453676581382751,0.036992378532886505,0.465588241815567
0.014349895529448986,0.5494852662086487,0.03720708563923836,0.47882354259490967
0.014007166028022766,0.5536764860153198,0.036482613533735275,0.4779411852359772
0.013698644936084747,0.5557352900505066,0.03609609603881836,0.5073529481887817
0.013370799832046032,0.5580882430076599,0.0359673872590065,0.49970588088035583
0.013112803921103477,0.5663602948188782,0.03617911785840988,0.5005882382392883
0.01280660554766655,0.5730882287025452,0.036237698048353195,0.5138235092163086
0.012557772919535637,0.57459557056427,0.03584962338209152,0.5208823680877686
0.012309298850595951,0.582058846950531,0.03563736379146576,0.50352942943573
