loss,accuracy,val_loss,val_accuracy,RRMSE,CC,SNR,SSIM
0.31320175528526306,0.012316176667809486,0.491271436214447,0.019117647781968117,2.927023437119925,0.16379095182210615,0.05170496588255671,0.010088506818856343
0.2581626772880554,0.025772059336304665,0.42351922392845154,0.028823530301451683,3.422849045051748,0.2935838400773678,0.43760972621819655,0.031128984886791812
0.22273428738117218,0.05562499910593033,0.3384917080402374,0.11500000208616257,3.819659323185867,0.4158407163080813,1.2557420120868417,0.10446746493287538
0.18041640520095825,0.11040440946817398,0.28953421115875244,0.15264706313610077,3.327278363886154,0.4618994428955361,1.7921374259620242,0.13896347110583251
0.15206380188465118,0.15224264562129974,0.2596031427383423,0.2123529464006424,3.8115327615873924,0.48186155770191896,2.1520645010175175,0.17670447012672172
0.13088791072368622,0.18808823823928833,0.2442397028207779,0.19823528826236725,3.8911255840336656,0.49195481635531796,2.2655554804067526,0.18197018369491522
0.11282260715961456,0.2194852977991104,0.22816291451454163,0.21794117987155914,3.362896658214942,0.5002573915325285,2.510191189201546,0.2002694958822532
0.10043961554765701,0.2400735318660736,0.223474383354187,0.2191176414489746,3.9720685043143984,0.5093631748028843,2.588638862938842,0.219915652534974
0.08884960412979126,0.2593750059604645,0.20910616219043732,0.2535293996334076,4.070236858007709,0.5162085816405864,2.762794498014644,0.2307642461608152
0.07982669025659561,0.28242647647857666,0.21733830869197845,0.2361764758825302,4.096391164117696,0.515503719084949,2.734954561718521,0.2354623732850162
0.07428032159805298,0.2903308868408203,0.2031056135892868,0.2594117522239685,3.975871326685326,0.5225679637735001,2.860447148377797,0.23618960324231816
0.06887664645910263,0.3023529350757599,0.19771234691143036,0.2561764717102051,3.759853139682271,0.52790429752548,2.952855931562309,0.24714438658331017
0.06349317729473114,0.3171691298484802,0.20228488743305206,0.2755882441997528,3.8705200977038308,0.5228113039376614,2.9273146399260113,0.24688033114272703
0.059776660054922104,0.3286764621734619,0.19507049024105072,0.26911765336990356,3.951281885061414,0.531663860271877,3.0522932420321616,0.2532508262890055
0.05672350153326988,0.3376838266849518,0.1907096952199936,0.29676470160484314,4.055518559563153,0.5312876530691538,3.063181358107113,0.25565723375828037
0.05413644388318062,0.34823527932167053,0.18969419598579407,0.29058822989463806,3.924400297890472,0.5354573038272347,3.1547708417995026,0.2619615294987059
0.05164295807480812,0.3568750023841858,0.1909034699201584,0.3108823597431183,4.069766639086537,0.5336218649528143,3.153927853387907,0.2653558007257689
0.0496111735701561,0.3631249964237213,0.1848592758178711,0.28882351517677307,3.9748947949244506,0.5342868494381908,3.1526989762701243,0.26135226894892016
0.049454353749752045,0.3687867522239685,0.19121144711971283,0.31735295057296753,4.074681898799829,0.5361518174396047,3.129641529601637,0.26437967115370264
0.04715707153081894,0.37742647528648376,0.1839008331298828,0.30588236451148987,3.6492247636861754,0.5404275691227007,3.1997121657797947,0.2646147974689545
0.04570040479302406,0.38080883026123047,0.1875188797712326,0.2935294210910797,3.878517779493829,0.5377255303348634,3.209163810077423,0.2705735202253206
0.04366293177008629,0.388455867767334,0.18491800129413605,0.30617648363113403,3.8991778645098694,0.538933990815174,3.225607198452954,0.26956017732642634
0.0431516058743,0.3897426426410675,0.18142755329608917,0.32411766052246094,3.829741761256097,0.541083125195883,3.2816019464597055,0.27034675795968244
0.04209886118769646,0.39536765217781067,0.18067799508571625,0.32147058844566345,3.693014281316202,0.5388361501645117,3.252561604524427,0.26968089412223295
0.04104850813746452,0.4004044234752655,0.1749635636806488,0.31647059321403503,3.68843644413366,0.5439114259215789,3.2904253978762683,0.2685869912911819
0.040922388434410095,0.39963236451148987,0.18050900101661682,0.30088233947753906,3.6415998299742314,0.5399153312985959,3.2665205273589604,0.26597696338751275
0.03913354128599167,0.4172426462173462,0.18125830590724945,0.32411766052246094,3.589227527116367,0.5382819244598727,3.297419546480943,0.2736865293781066
0.039500974118709564,0.4102941155433655,0.17474013566970825,0.33176469802856445,3.7434682157487584,0.5438789097328776,3.355233397157799,0.2768259410584261
0.03772911801934242,0.41808822751045227,0.17754825949668884,0.3238235414028168,3.763781472648051,0.5431940114495848,3.3603136479717346,0.2766102085567298
0.03706488758325577,0.42908087372779846,0.18048761785030365,0.3585294187068939,3.9585918664823616,0.5423525722473859,3.3292065615020388,0.2797288430641669
0.036836378276348114,0.42658087611198425,0.17615000903606415,0.34705883264541626,3.6295385248090635,0.5454827016275159,3.372841554134892,0.2796075028331639
0.03565170615911484,0.4234558939933777,0.17768080532550812,0.34823527932167053,3.879546296893398,0.5443208499850412,3.3985466380134466,0.28242942151897477
0.03531891852617264,0.4355882406234741,0.1802760362625122,0.349117636680603,3.976127454946138,0.5483341477817768,3.3976933335389417,0.28728353691644737
0.03541305661201477,0.43169116973876953,0.17765524983406067,0.31617647409439087,3.8981413748385774,0.5464529013480109,3.401601293307112,0.2874858882333743
0.034696225076913834,0.43547794222831726,0.17555324733257294,0.330294132232666,3.8323109647201363,0.5433142079311848,3.4124835198855794,0.28224370350338807
0.03438640013337135,0.4337867498397827,0.1729402393102646,0.3297058939933777,3.64139450419631,0.5453305729021821,3.435867737125367,0.2828095776049191
0.03383877873420715,0.4381985366344452,0.1785469502210617,0.33676469326019287,3.824604289853758,0.5441325210269853,3.396289571198446,0.28456230533960597
0.03354433923959732,0.4410293996334076,0.1746840476989746,0.3226470649242401,3.5538753224616118,0.5474264174887585,3.45591887478166,0.2857956504531509
0.03308740258216858,0.4434926509857178,0.17144827544689178,0.3485293984413147,3.747451864500063,0.5457805720868317,3.429648658900663,0.2845280905223397
0.03221813961863518,0.4524632394313812,0.17026956379413605,0.33794116973876953,3.807833884679921,0.54800605391806,3.4681191845439368,0.2845242705356446
0.032085783779621124,0.4515073597431183,0.17250508069992065,0.34970587491989136,3.9667611898246986,0.550392527268102,3.500717276563739,0.2894950485550627
0.0320097953081131,0.4545955955982208,0.1745159924030304,0.3473529517650604,3.828175885466357,0.5485537337928674,3.4273317257434583,0.28346153941410085
0.031337887048721313,0.46191176772117615,0.1691923588514328,0.3529411852359772,3.709904931656795,0.5488243144909177,3.471837930185928,0.28398717736996765
0.03095344454050064,0.45602941513061523,0.16805097460746765,0.349117636680603,3.5673597022595214,0.5509806200909949,3.526970825228278,0.28781241508130745
0.031209422275424004,0.454926460981369,0.17407649755477905,0.36088234186172485,3.698917252885178,0.5485243216768597,3.472151531136627,0.28609713374387236
0.03022526204586029,0.4590073525905609,0.1721399575471878,0.35235294699668884,3.781151568784844,0.5510224756385803,3.5283705724364034,0.29096437853581675
0.029894130304455757,0.4623897075653076,0.17205820977687836,0.36176469922065735,3.937249958818619,0.5484953033613583,3.5322814775775475,0.29253575268609916
0.029775217175483704,0.46636030077934265,0.16755735874176025,0.33764705061912537,3.673753252673693,0.5475944328152158,3.4888901762934688,0.28377658898330976
0.03000342845916748,0.4625735282897949,0.17282089591026306,0.32823529839515686,3.827791128857307,0.5468036827103703,3.477697926509398,0.28918784656861296
0.029156215488910675,0.4684191048145294,0.17235875129699707,0.3552941083908081,3.679783787429412,0.546590600157343,3.5133032570960983,0.2879682618852631
0.02918355166912079,0.4661029279232025,0.17185327410697937,0.33588236570358276,3.740829502418196,0.5474379557845367,3.48257875657453,0.28511254722137963
0.02889205887913704,0.47786763310432434,0.16659803688526154,0.3382352888584137,3.6819127091682997,0.5506230041958897,3.5158451771070514,0.287057894827905
0.028281113132834435,0.4755147099494934,0.17212702333927155,0.3332352936267853,3.718709503010433,0.5451393217415672,3.4845100513571605,0.28839806628618175
0.02852049469947815,0.47272059321403503,0.16950662434101105,0.3414705991744995,3.648126913483387,0.5494439130024154,3.5002560047630795,0.28621705718524054
0.028030015528202057,0.4785294234752655,0.1705738604068756,0.35676470398902893,3.772939952557009,0.5489549321324757,3.537498880391268,0.29073816301764926
0.02759440429508686,0.4793750047683716,0.16734687983989716,0.33529412746429443,3.571667036238239,0.552142715587328,3.4810995746449906,0.28246865466729487
0.027039824053645134,0.48110294342041016,0.16868408024311066,0.3741176426410675,3.6841300164655597,0.5499200709906404,3.555599821581812,0.29146156538451606
0.027137434110045433,0.4830882251262665,0.16831417381763458,0.3552941083908081,3.6885850251890164,0.5539448144923791,3.527663509623058,0.29046009090634684
0.026796957477927208,0.48816177248954773,0.1680058091878891,0.3605882227420807,3.741340781890582,0.5505775625273657,3.536694480739217,0.2905565649362551
0.026779061183333397,0.4850367605686188,0.16899755597114563,0.3305882215499878,3.555859601569564,0.5518124466368586,3.520813984836358,0.28600076158140314
0.025989027693867683,0.48981618881225586,0.16923530399799347,0.3329411745071411,3.677580734208121,0.553205163698129,3.5523419651202146,0.2911006207185348
0.026337474584579468,0.4836397171020508,0.16537298262119293,0.3535294234752655,3.8515603636042353,0.5536368481036917,3.6142708969748996,0.2972119577877238
0.02615935169160366,0.48731619119644165,0.16680987179279327,0.352647066116333,3.73893189821657,0.552782495492172,3.603287045039323,0.29289910602642094
0.02576904557645321,0.48816177248954773,0.16657590866088867,0.36500000953674316,3.8377669409255377,0.5529444399227271,3.602493580954618,0.2920032826632904
0.025517500936985016,0.49566176533699036,0.16923049092292786,0.3444117605686188,3.839595887696086,0.5529370851877741,3.568981131365265,0.29318367455467004
