loss,accuracy,val_loss,val_accuracy
0.02020665630698204,0.5287132263183594,0.1546270102262497,0.3655882477760315
0.019622931256890297,0.5326470732688904,0.15104621648788452,0.37205880880355835
0.019696038216352463,0.5351102948188782,0.15340390801429749,0.3817647099494934
0.02051948383450508,0.5292279124259949,0.15392979979515076,0.34029412269592285
0.01966973766684532,0.5306985378265381,0.15498816967010498,0.3664705753326416
0.019467707723379135,0.5351470708847046,0.15432782471179962,0.387058824300766
0.019673964008688927,0.5390808582305908,0.1523829698562622,0.39352941513061523
0.019326547160744667,0.5359191298484802,0.15322723984718323,0.385294109582901
0.01916678622364998,0.5423896908760071,0.15926364064216614,0.3673529326915741
0.019480731338262558,0.5329043865203857,0.1560209095478058,0.37705883383750916
0.0195161160081625,0.5373896956443787,0.15439757704734802,0.36441177129745483
0.018998486921191216,0.5412867665290833,0.16043145954608917,0.3955882489681244
0.019079869613051414,0.5373529195785522,0.15170420706272125,0.3782352805137634
0.01873505488038063,0.5420956015586853,0.15464887022972107,0.37617647647857666
0.01898452825844288,0.5386029481887817,0.15927450358867645,0.37205880880355835
0.018775587901473045,0.5440808534622192,0.15209093689918518,0.37029412388801575
0.021142849698662758,0.5257720351219177,0.15993525087833405,0.3620588183403015
0.018849613144993782,0.545514702796936,0.15330734848976135,0.38058823347091675
0.018613696098327637,0.5437132120132446,0.15716765820980072,0.3700000047683716
0.018652543425559998,0.5403308868408203,0.15456826984882355,0.3955882489681244
0.018509933724999428,0.542316198348999,0.1583968549966812,0.3879411816596985
0.018011052161455154,0.5502573251724243,0.15647071599960327,0.3655882477760315
0.018487725406885147,0.5455882549285889,0.1557425707578659,0.3794117569923401
0.01833912543952465,0.5459191203117371,0.15587343275547028,0.36705881357192993
0.018371224403381348,0.5449632406234741,0.15756618976593018,0.38382354378700256
0.01824767515063286,0.546875,0.1539769470691681,0.3835294246673584
0.018393879756331444,0.5458088517189026,0.15399588644504547,0.385294109582901
0.018016986548900604,0.5488970875740051,0.15773876011371613,0.388823539018631
0.018672533333301544,0.5440441370010376,0.1560617834329605,0.37882351875305176
0.01868177391588688,0.5441176295280457,0.15539491176605225,0.388823539018631
0.01809048280119896,0.5461397171020508,0.1549568921327591,0.3741176426410675
0.018100203946232796,0.5495588183403015,0.15534789860248566,0.3597058951854706
0.017905540764331818,0.5515441298484802,0.1579258292913437,0.373235285282135
0.018092535436153412,0.5535294413566589,0.15650245547294617,0.3697058856487274
0.01762991212308407,0.550808846950531,0.1536177098751068,0.3905882239341736
0.017670797184109688,0.5494117736816406,0.1552816480398178,0.376764714717865
0.017287099733948708,0.5565809011459351,0.15325744450092316,0.4067647159099579
0.01763392798602581,0.5540809035301208,0.1558576375246048,0.3952941298484802
0.01758703961968422,0.5554412007331848,0.15449155867099762,0.3970588147640228
0.017969096079468727,0.552242636680603,0.16331399977207184,0.376764714717865
0.01777537167072296,0.5556617379188538,0.15768031775951385,0.38147059082984924
0.018067242577672005,0.5499264597892761,0.16007986664772034,0.3911764621734619
0.017420722171664238,0.5556985139846802,0.1547449827194214,0.3799999952316284
0.017287366092205048,0.5573896765708923,0.15616798400878906,0.3741176426410675
0.017065588384866714,0.5557352900505066,0.15526238083839417,0.36500000953674316
0.01708546280860901,0.5544853210449219,0.15596604347229004,0.38411763310432434
0.017086146399378777,0.5598897337913513,0.15349356830120087,0.3605882227420807
0.01760927401483059,0.5496691465377808,0.15432654321193695,0.3897058963775635
0.01756635122001171,0.5497426390647888,0.15520961582660675,0.37529411911964417
0.017249884083867073,0.5572794079780579,0.15618495643138885,0.3758823573589325
0.01698802225291729,0.5572426319122314,0.1556168645620346,0.3773529529571533
0.016888154670596123,0.5614705681800842,0.15817025303840637,0.40617647767066956
0.01696075312793255,0.5569117665290833,0.15127414464950562,0.37970587611198425
0.018517177551984787,0.546875,0.15255582332611084,0.3938235342502594
0.016683800145983696,0.5645220875740051,0.15009519457817078,0.40117648243904114
0.01647118106484413,0.5663602948188782,0.1507507711648941,0.41647058725357056
0.0165594220161438,0.5612499713897705,0.15379098057746887,0.3885294198989868
0.01673770882189274,0.5583456158638,0.15179245173931122,0.3782352805137634
0.016621988266706467,0.5623529553413391,0.15391938388347626,0.37294116616249084
0.016480950638651848,0.561139702796936,0.1546301394701004,0.38735294342041016
0.016613980755209923,0.5585294365882874,0.15080837905406952,0.400882363319397
0.016856180503964424,0.5566176176071167,0.15529407560825348,0.3879411816596985
0.016867097467184067,0.5620588064193726,0.15534961223602295,0.40294116735458374
0.016347253695130348,0.566838264465332,0.1533169150352478,0.3794117569923401
0.01649237424135208,0.5631250143051147,0.15162093937397003,0.3655882477760315
0.01630750298500061,0.5685294270515442,0.15124017000198364,0.3688235282897949
0.01634780503809452,0.5637132525444031,0.15442229807376862,0.39764705300331116
0.016641240566968918,0.5656617879867554,0.15161311626434326,0.3723529279232025
0.016454042866826057,0.5660662055015564,0.15360867977142334,0.4005882441997528
0.016244079917669296,0.5662132501602173,0.15754032135009766,0.3988235294818878
0.01647636853158474,0.5655882358551025,0.15298469364643097,0.38588234782218933
0.016248367726802826,0.5638970732688904,0.15278536081314087,0.399117648601532
0.01690327189862728,0.558566153049469,0.1568244993686676,0.39764705300331116
0.01604095660150051,0.5663235187530518,0.1542844921350479,0.3638235330581665
0.016028933227062225,0.5694853067398071,0.15526144206523895,0.41911765933036804
0.016238367184996605,0.5640808939933777,0.150542750954628,0.38294118642807007
0.01607862114906311,0.5694117546081543,0.15317730605602264,0.3826470673084259
0.01583717204630375,0.5720220804214478,0.15246425569057465,0.38558822870254517
0.016719689592719078,0.5620588064193726,0.15367324650287628,0.37117648124694824
0.016482343897223473,0.5649999976158142,0.1565474420785904,0.39411765336990356
0.015720529481768608,0.5691544413566589,0.15328270196914673,0.38470587134361267
