loss,accuracy,val_loss,val_accuracy
0.027757372707128525,0.4783456027507782,0.17150652408599854,0.35411766171455383
0.02660607360303402,0.47860294580459595,0.16608081758022308,0.3499999940395355
0.026980064809322357,0.47930148243904114,0.17296628654003143,0.3347058892250061
0.027183348312973976,0.47966912388801575,0.17349976301193237,0.3382352888584137
0.02850331738591194,0.4678676426410675,0.16542808711528778,0.36088234186172485
0.027133425697684288,0.47738969326019287,0.214943528175354,0.2902941107749939
0.026138439774513245,0.47702205181121826,0.1737113893032074,0.375
0.026071680709719658,0.48268383741378784,0.24110263586044312,0.23529411852359772
0.027557292953133583,0.47058823704719543,0.1664019227027893,0.3305882215499878
0.02578778937458992,0.4818750023841858,0.17311611771583557,0.33705881237983704
0.0269387848675251,0.4800735414028168,0.1784106194972992,0.3449999988079071
0.026360444724559784,0.48231616616249084,0.17358097434043884,0.33617648482322693
0.026816967874765396,0.4772794246673584,0.17200389504432678,0.35735294222831726
0.026113200932741165,0.48055148124694824,0.18839123845100403,0.3320588171482086
0.026875872164964676,0.4762132465839386,0.170744851231575,0.3485293984413147
0.027020640671253204,0.47591912746429443,0.17164461314678192,0.3620588183403015
0.02581777051091194,0.4858088195323944,0.18310536444187164,0.31117647886276245
0.026561858132481575,0.4777941107749939,0.16990676522254944,0.3311764597892761
0.026191186159849167,0.4837132394313812,0.1646881252527237,0.36088234186172485
0.02504650317132473,0.49088236689567566,0.169878289103508,0.34470587968826294
0.02662491239607334,0.48235294222831726,0.1787436157464981,0.33588236570358276
0.02892967313528061,0.4719852805137634,0.21472667157649994,0.29411765933036804
0.028641002252697945,0.4737132489681244,0.18228228390216827,0.3655882477760315
0.02587471902370453,0.48871323466300964,0.16723954677581787,0.36264705657958984
0.026275360956788063,0.4835294187068939,0.17303231358528137,0.3708823621273041
0.02566029131412506,0.48639705777168274,0.17423513531684875,0.33794116973876953
0.02375635877251625,0.4994485378265381,0.16806001961231232,0.36000001430511475
0.027035029605031013,0.4785294234752655,0.17202934622764587,0.3494117558002472
0.023810680955648422,0.4958823621273041,0.17013628780841827,0.3511764705181122
0.02536773681640625,0.4914338290691376,0.17383915185928345,0.3552941083908081
0.027902113273739815,0.4783456027507782,0.1701449453830719,0.35676470398902893
